Date (NZST), Rainfall (mm), Data quality code
1/07/20 0:00,0,600
1/07/20 1:00,0,600
1/07/20 2:00,0,600
1/07/20 3:00,0,600
1/07/20 4:00,0,600
1/07/20 5:00,0.2,600
1/07/20 6:00,0,600
1/07/20 7:00,0.2,600
1/07/20 8:00,0,600
1/07/20 9:00,0.4,600
1/07/20 10:00,0.4,600
1/07/20 11:00,0.2,600
1/07/20 12:00,0.6,600
1/07/20 13:00,0,600
1/07/20 14:00,0.6,600
1/07/20 15:00,0.6,600
1/07/20 16:00,0,600
1/07/20 17:00,0.2,600
1/07/20 18:00,0.6,600
1/07/20 19:00,0.2,600
1/07/20 20:00,0.2,600
1/07/20 21:00,0.6,600
1/07/20 22:00,0.2,600
1/07/20 23:00,0.22,600
2/07/20 0:00,0.18,600
2/07/20 1:00,2.859,600
2/07/20 2:00,2.141,600
2/07/20 3:00,3.81,600
2/07/20 4:00,2.405,600
2/07/20 5:00,4.038,600
2/07/20 6:00,2.304,600
2/07/20 7:00,3.132,600
2/07/20 8:00,1.711,600
2/07/20 9:00,0.6,600
2/07/20 10:00,0,600
2/07/20 11:00,0.4,600
2/07/20 12:00,0.4,600
2/07/20 13:00,0,600
2/07/20 14:00,0.2,600
2/07/20 15:00,0,600
2/07/20 16:00,0,600
2/07/20 17:00,0,600
2/07/20 18:00,0,600
2/07/20 19:00,0,600
2/07/20 20:00,0,600
2/07/20 21:00,0,600
2/07/20 22:00,0,600
2/07/20 23:00,0,600
3/07/20 0:00,0,600
3/07/20 1:00,0.2,600
3/07/20 2:00,0,600
3/07/20 3:00,0,600
3/07/20 4:00,0,600
3/07/20 5:00,0,600
3/07/20 6:00,0,600
3/07/20 7:00,0,600
3/07/20 8:00,0,600
3/07/20 9:00,0,600
3/07/20 10:00,0,600
3/07/20 11:00,0,600
3/07/20 12:00,0,600
3/07/20 13:00,0,600
3/07/20 14:00,0,600
3/07/20 15:00,0,600
3/07/20 16:00,0,600
3/07/20 17:00,0,600
3/07/20 18:00,0,600
3/07/20 19:00,0,600
3/07/20 20:00,0,600
